cbsa,count_SELF,sum_SELF,share_SELF,count_INC,sum_INC,share_INC,count_entrep,sum_entrep,share_entrep,count_ba,sum_ba,share_ba
"Sandusky, OH",,,,,,,194.0,14.0,0.07216494845360824,,,
"Sanford, NC",,,,,,,381.0,27.0,0.07086614173228346,,,
"Sault Ste. Marie, MI",,,,,,,106.0,6.0,0.05660377358490566,,,
"Sayre, PA",,,,,,,155.0,3.0,0.01935483870967742,,,
"Scottsbluff, NE",,,,,,,130.0,12.0,0.09230769230769231,,,
"Scottsboro, AL",,,,,,,84.0,8.0,0.09523809523809523,,,
"Scottsburg, IN",,,,,,,86.0,7.0,0.08139534883720931,,,
"Searcy, AR",,,,,,,256.0,10.0,0.0390625,,,
"Sebring-Avon Park, FL",,,,,,,329.0,30.0,0.0911854103343465,,,
"Sedalia, MO",,,,,,,145.0,12.0,0.08275862068965517,,,
"Selinsgrove, PA",,,,,,,122.0,9.0,0.07377049180327869,,,
"Selma, AL",,,,,,,87.0,2.0,0.022988505747126436,,,
"Seneca Falls, NY",,,,,,,58.0,2.0,0.034482758620689655,,,
"Seneca, SC",,,,,,,353.0,28.0,0.07932011331444759,,,
"Sevierville, TN",,,,,,,506.0,59.0,0.116600790513834,,,
"Seymour, IN",,,,,,,213.0,12.0,0.056338028169014086,,,
"Shawano, WI",,,,,,,79.0,6.0,0.0759493670886076,,,
"Shawnee, OK",,,,,,,225.0,14.0,0.06222222222222222,,,
"Shelby, NC",,,,,,,437.0,31.0,0.07093821510297482,,,
"Shelbyville, TN",,,,,,,580.0,42.0,0.07241379310344828,,,
"Shelton, WA",,,,,,,173.0,16.0,0.09248554913294797,,,
"Sheridan, WY",,,,,,,206.0,22.0,0.10679611650485436,,,
"Sherman-Denison, TX",,,,,,,837.0,65.0,0.07765830346475508,,,
"Show Low, AZ",,,,,,,232.0,26.0,0.11206896551724138,,,
"Sidney, OH",,,,,,,179.0,11.0,0.061452513966480445,,,
"Sierra Vista-Douglas, AZ",,,,,,,575.0,29.0,0.050434782608695654,,,
"Sikeston, MO",,,,,,,57.0,2.0,0.03508771929824561,,,
"Silver City, NM",,,,,,,57.0,5.0,0.08771929824561403,,,
"Sioux City, IA-NE-SD",,,,,,,378.0,16.0,0.042328042328042326,,,
"Sioux Falls, SD",,,,,,,3329.0,196.0,0.05887653950135176,,,
"Snyder, TX",,,,,,,61.0,4.0,0.06557377049180328,,,
"Somerset, KY",,,,,,,200.0,15.0,0.075,,,
"Somerset, PA",,,,,,,182.0,20.0,0.10989010989010989,,,
"Sonora, CA",,,,,,,207.0,27.0,0.13043478260869565,,,
"Spearfish, SD",,,,,,,122.0,10.0,0.08196721311475409,,,
"Spencer, IA",,,,,,,68.0,4.0,0.058823529411764705,,,
