county,state_name,csa,csa_state
Lawrence County,Indiana,Bloomington-Bedford,IN
Bee County,Texas,,
Logan County,Ohio,Columbus-Marion-Zanesville,OH
Whatcom County,Washington,,
Beltrami County,Minnesota,,
Deschutes County,Oregon,Bend-Prineville,OR
Marlboro County,South Carolina,,
Bennington County,Vermont,,
Coos County,New Hampshire,,
Mecosta County,Michigan,Grand Rapids-Kentwood-Muskegon,MI
Howard County,Texas,,
Wise County,Virginia,,
Norton city,Virginia,,
Carbon County,Montana,,
Stillwater County,Montana,,
Yellowstone County,Montana,,
Broome County,New York,,
Tioga County,New York,,
Bibb County,Alabama,Birmingham-Hoover-Talladega,AL
Blount County,Alabama,Birmingham-Hoover-Talladega,AL
Chilton County,Alabama,Birmingham-Hoover-Talladega,AL
Jefferson County,Alabama,Birmingham-Hoover-Talladega,AL
St. Clair County,Alabama,Birmingham-Hoover-Talladega,AL
Shelby County,Alabama,Birmingham-Hoover-Talladega,AL
Burleigh County,North Dakota,,
Morton County,North Dakota,,
Oliver County,North Dakota,,
Bingham County,Idaho,Idaho Falls-Rexburg-Blackfoot,ID
Giles County,Virginia,,
Montgomery County,Virginia,,
Pulaski County,Virginia,,
Radford city,Virginia,,
McLean County,Illinois,Bloomington-Pontiac,IL
Monroe County,Indiana,Bloomington-Bedford,IN
Owen County,Indiana,Bloomington-Bedford,IN
Columbia County,Pennsylvania,,
Columbia County,Pennsylvania,Bloomsburg-Berwick-Sunbury,PA
Montour County,Pennsylvania,Bloomsburg-Berwick-Sunbury,PA
Bland County,Virginia,,
Tazewell County,Virginia,,
Mercer County,West Virginia,,
Wells County,Indiana,Fort Wayne-Huntington-Auburn,IN
Wells County,Indiana,Fort Wayne-Huntington-Auburn,IN
Mississippi County,Arkansas,,
Washington Parish,Louisiana,New Orleans-Metairie-Hammond,LA-MS
Ada County,Idaho,Boise City-Mountain Home-Ontario,ID-OR
Boise County,Idaho,Boise City-Mountain Home-Ontario,ID-OR
Canyon County,Idaho,Boise City-Mountain Home-Ontario,ID-OR
Gem County,Idaho,Boise City-Mountain Home-Ontario,ID-OR
Owyhee County,Idaho,Boise City-Mountain Home-Ontario,ID-OR
Fannin County,Texas,Dallas-Fort Worth,TX-OK
Watauga County,North Carolina,,
Hutchinson County,Texas,Amarillo-Pampa-Borger,TX
Norfolk County,Massachusetts,Boston-Worcester-Providence,MA-RI-NH-CT
Plymouth County,Massachusetts,Boston-Worcester-Providence,MA-RI-NH-CT
Suffolk County,Massachusetts,Boston-Worcester-Providence,MA-RI-NH-CT
Essex County,Massachusetts,Boston-Worcester-Providence,MA-RI-NH-CT
Middlesex County,Massachusetts,Boston-Worcester-Providence,MA-RI-NH-CT
Rockingham County,New Hampshire,Boston-Worcester-Providence,MA-RI-NH-CT
Strafford County,New Hampshire,Boston-Worcester-Providence,MA-RI-NH-CT
Worcester County,Massachusetts,,
Rockingham/Strafford (Porthsmouth-Rochester),,Boston-Worcester-Providence,MA-RI-NH-CT
Boulder County,Colorado,Denver-Aurora,CO
Allen County,Kentucky,Bowling Green-Glasgow,KY
Butler County,Kentucky,Bowling Green-Glasgow,KY
Edmonson County,Kentucky,Bowling Green-Glasgow,KY
Warren County,Kentucky,Bowling Green-Glasgow,KY
Gallatin County,Montana,,
McKean County,Pennsylvania,,
Cass County,Minnesota,,
Crow Wing County,Minnesota,,
Taney County,Missouri,,
Summit County,Colorado,,
Kitsap County,Washington,Seattle-Tacoma,WA
Washington County,Texas,Houston-The Woodlands,TX
Transylvania County,North Carolina,Asheville-Marion-Brevard,NC
Fairfield County,Connecticut,New York-Newark,NY-NJ-CT-PA
Fairfield (Stamford),,New York-Newark,NY-NJ-CT-PA
New Haven (Waterbury),,,
New Haven (Waterbury),,New York-Newark,NY-NJ-CT-PA
Fairfield (Danbury),,,
Fairfield (Danbury),,New York-Newark,NY-NJ-CT-PA
Lincoln County,Mississippi,Jackson-Vicksburg-Brookhaven,MS
Curry County,Oregon,,
Brookings County,South Dakota,,
Haywood County,Tennessee,Jackson-Brownsville,TN
Cameron County,Texas,Brownsville-Harlingen-Raymondville,TX
Brown County,Texas,,
Brantley County,Georgia,,
Glynn County,Georgia,,
McIntosh County,Georgia,,
Crawford County,Ohio,Mansfield-Ashland-Bucyrus,OH
Crawford County,Ohio,Mansfield-Ashland-Bucyrus,OH
Erie County,New York,Buffalo-Cheektowaga-Olean,NY
Niagara County,New York,Buffalo-Cheektowaga-Olean,NY
Cassia County,Idaho,,
Minidoka County,Idaho,,
Henderson County,Illinois,Burlington-Fort Madison-Keokuk,IA-IL-MO
Des Moines County,Iowa,Burlington-Fort Madison-Keokuk,IA-IL-MO
Alamance County,North Carolina,Greensboro--Winston-Salem--High Point,NC
Alamance County,North Carolina,Greensboro--Winston-Salem--High Point,NC
Chittenden County,Vermont,Burlington-South Burlington-Barre,VT
Franklin County,Vermont,Burlington-South Burlington-Barre,VT
Grand Isle County,Vermont,Burlington-South Burlington-Barre,VT
Silver Bow County,Montana,,
Missaukee County,Michigan,,
Wexford County,Michigan,,
Gordon County,Georgia,Chattanooga-Cleveland-Dalton,TN-GA
St. Mary's County,Maryland,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Dorchester County,Maryland,Salisbury-Cambridge,MD-DE
Guernsey County,Ohio,Columbus-Marion-Zanesville,OH
Calhoun County,Arkansas,,
Ouachita County,Arkansas,,
Green County,Kentucky,,
Taylor County,Kentucky,,
Fremont County,Colorado,Pueblo-Cañon City,CO
Carroll County,Ohio,Cleveland-Akron-Canton,OH
Stark County,Ohio,Cleveland-Akron-Canton,OH
Lee County,Florida,Cape Coral-Fort Myers-Naples,FL
Alexander County,Illinois,Cape Girardeau-Sikeston,MO-IL
Bollinger County,Missouri,Cape Girardeau-Sikeston,MO-IL
Cape Girardeau County,Missouri,Cape Girardeau-Sikeston,MO-IL
Jackson County,Illinois,,
Johnson County,Illinois,,
Williamson County,Illinois,,
Eddy County,New Mexico,,
Carroll County,Iowa,,
Carson City,Nevada,Reno-Carson City-Fernley,NV
Natrona County,Wyoming,,
Iron County,Utah,,
Benton County,Iowa,Cedar Rapids-Iowa City,IA
Jones County,Iowa,Cedar Rapids-Iowa City,IA
Linn County,Iowa,Cedar Rapids-Iowa City,IA
Polk County,Georgia,Atlanta--Athens-Clarke County--Sandy Springs,GA-AL
Mercer County,Ohio,Lima-Van Wert-Celina,OH
Muhlenberg County,Kentucky,,
Marion County,Illinois,St. Louis-St. Charles-Farmington,MO-IL
Lewis County,Washington,Seattle-Tacoma,WA
Franklin County,Pennsylvania,Washington-Baltimore-Arlington,DC-MD-VA-WV-PA
Champaign County,Illinois,,
Piatt County,Illinois,,
Boone County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Clay County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Jackson County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Kanawha County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Lincoln County,West Virginia,Charleston-Huntington-Ashland,WV-OH-KY
Coles County,Illinois,,
Cumberland County,Illinois,,
Berkeley County,South Carolina,,
Charleston County,South Carolina,,
Dorchester County,South Carolina,,
Anson County,North Carolina,Charlotte-Concord,NC-SC
Cabarrus County,North Carolina,Charlotte-Concord,NC-SC
Gaston County,North Carolina,Charlotte-Concord,NC-SC
Iredell County,North Carolina,Charlotte-Concord,NC-SC
Lincoln County,North Carolina,Charlotte-Concord,NC-SC
Mecklenburg County,North Carolina,Charlotte-Concord,NC-SC
Rowan County,North Carolina,Charlotte-Concord,NC-SC
Union County,North Carolina,Charlotte-Concord,NC-SC
Chester County,South Carolina,Charlotte-Concord,NC-SC
Lancaster County,South Carolina,Charlotte-Concord,NC-SC
York County,South Carolina,Charlotte-Concord,NC-SC
Albemarle County,Virginia,,
Fluvanna County,Virginia,,
Greene County,Virginia,,
Nelson County,Virginia,,
Charlottesville city,Virginia,,
Catoosa County,Georgia,Chattanooga-Cleveland-Dalton,TN-GA
Dade County,Georgia,Chattanooga-Cleveland-Dalton,TN-GA
Walker County,Georgia,Chattanooga-Cleveland-Dalton,TN-GA
Hamilton County,Tennessee,Chattanooga-Cleveland-Dalton,TN-GA
Marion County,Tennessee,Chattanooga-Cleveland-Dalton,TN-GA
Sequatchie County,Tennessee,Chattanooga-Cleveland-Dalton,TN-GA
Laramie County,Wyoming,,
Cook County,Illinois,Chicago-Naperville,IL-IN-WI
DuPage County,Illinois,Chicago-Naperville,IL-IN-WI
Grundy County,Illinois,Chicago-Naperville,IL-IN-WI
McHenry County,Illinois,Chicago-Naperville,IL-IN-WI
Will County,Illinois,Chicago-Naperville,IL-IN-WI
DeKalb County,Illinois,Chicago-Naperville,IL-IN-WI
Kane County,Illinois,Chicago-Naperville,IL-IN-WI
Kendall County,Illinois,Chicago-Naperville,IL-IN-WI
Jasper County,Indiana,Chicago-Naperville,IL-IN-WI
Lake County,Indiana,Chicago-Naperville,IL-IN-WI
Newton County,Indiana,Chicago-Naperville,IL-IN-WI
Porter County,Indiana,Chicago-Naperville,IL-IN-WI
Lake County,Illinois,Chicago-Naperville,IL-IN-WI
Kenosha County,Wisconsin,Chicago-Naperville,IL-IN-WI
Butte County,California,,
Ross County,Ohio,Columbus-Marion-Zanesville,OH
