met2013,csa_m13,name_met2013,name_csa_m13
47220,100428,"vineland-bridgeton, nj","Philadelphia-Reading-Camden, PA-NJ-DE-MD"
47260,100545,"virginia beach-norfolk-newport news, va-nc","Virginia Beach-Norfolk, VA-NC"
47300,47300,"visalia-porterville, ca","Visalia, CA"
47380,47380,"waco, tx","Waco, TX"
48140,100554,"wausau, wi","Wausau-Stevens Point-Wisconsin Rapids, WI"
48300,48300,"wenatchee, wa","Wenatchee, WA"
48620,100556,"wichita, ks","Wichita-Winfield, KS"
48660,48660,"wichita falls, tx","Wichita Falls, TX"
48700,100558,"williamsport, pa","Williamsport-Lock Haven, PA"
48900,48900,"wilmington, nc","Wilmington, NC"
49420,49420,"yakima, wa","Yakima, WA"
49620,100276,"york-hanover, pa","Harrisburg-York-Lebanon, PA"
49700,100472,"yuba city, ca","Sacramento-Roseville, CA"
49740,49740,"yuma, az","Yuma, AZ"
