county,state_name,cbsa,fips,cbsa_code
St. Tammany Parish,Louisiana,"New Orleans-Metairie, LA",22103,35380
Tuscarawas County,Ohio,"New Philadelphia-Dover, OH",39157,35420
Lincoln County,Oregon,"Newport, OR",41041,35440
Cocke County,Tennessee,"Newport, TN",47029,35460
Brown County,Minnesota,"New Ulm, MN",27015,35580
Nassau County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36059,35620
Suffolk County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36103,35620
Essex County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34013,35620
Hunterdon County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34019,35620
Morris County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34027,35620
Sussex County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34037,35620
Union County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34039,35620
Pike County,Pennsylvania,"New York-Newark-Jersey City, NY-NJ-PA",42103,35620
Middlesex County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34023,35620
Monmouth County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34025,35620
Ocean County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34029,35620
Somerset County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34035,35620
Bergen County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34003,35620
Hudson County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34017,35620
Passaic County,New Jersey,"New York-Newark-Jersey City, NY-NJ-PA",34031,35620
Bronx County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36005,35620
Kings County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36047,35620
New York County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36061,35620
Putnam County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36079,35620
Queens County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36081,35620
Richmond County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36085,35620
Rockland County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36087,35620
Westchester County,New York,"New York-Newark-Jersey City, NY-NJ-PA",36119,35620
Berrien County,Michigan,"Niles, MI",26021,35660
Santa Cruz County,Arizona,"Nogales, AZ",4023,35700
Madison County,Nebraska,"Norfolk, NE",31119,35740
Pierce County,Nebraska,"Norfolk, NE",31139,35740
Stanton County,Nebraska,"Norfolk, NE",31167,35740
Lincoln County,Nebraska,"North Platte, NE",31111,35820
Logan County,Nebraska,"North Platte, NE",31113,35820
McPherson County,Nebraska,"North Platte, NE",31117,35820
Manatee County,Florida,"North Port-Sarasota-Bradenton, FL",12081,35840
Sarasota County,Florida,"North Port-Sarasota-Bradenton, FL",12115,35840
Jennings County,Indiana,"North Vernon, IN",18079,35860
Wilkes County,North Carolina,"North Wilkesboro, NC",37193,35900
Huron County,Ohio,"Norwalk, OH",39077,35940
New London County,Connecticut,"Norwich-New London, CT",9011,35980
Island County,Washington,"Oak Harbor, WA",53029,36020
Marion County,Florida,"Ocala, FL",12083,36100
Cape May County,New Jersey,"Ocean City, NJ",34009,36140
Ector County,Texas,"Odessa, TX",48135,36220
Box Elder County,Utah,"Ogden-Clearfield, UT",49003,36260
Davis County,Utah,"Ogden-Clearfield, UT",49011,36260
Morgan County,Utah,"Ogden-Clearfield, UT",49029,36260
Weber County,Utah,"Ogden-Clearfield, UT",49057,36260
St. Lawrence County,New York,"Ogdensburg-Massena, NY",36089,36300
Venango County,Pennsylvania,"Oil City, PA",42121,36340
Okeechobee County,Florida,"Okeechobee, FL",12093,36380
Canadian County,Oklahoma,"Oklahoma City, OK",40017,36420
Cleveland County,Oklahoma,"Oklahoma City, OK",40027,36420
Grady County,Oklahoma,"Oklahoma City, OK",40051,36420
Lincoln County,Oklahoma,"Oklahoma City, OK",40081,36420
Logan County,Oklahoma,"Oklahoma City, OK",40083,36420
McClain County,Oklahoma,"Oklahoma City, OK",40087,36420
Oklahoma County,Oklahoma,"Oklahoma City, OK",40109,36420
Cattaraugus County,New York,"Olean, NY",36009,36460
Thurston County,Washington,"Olympia-Lacey-Tumwater, WA",53067,36500
Harrison County,Iowa,"Omaha-Council Bluffs, NE-IA",19085,36540
Mills County,Iowa,"Omaha-Council Bluffs, NE-IA",19129,36540
Pottawattamie County,Iowa,"Omaha-Council Bluffs, NE-IA",19155,36540
Cass County,Nebraska,"Omaha-Council Bluffs, NE-IA",31025,36540
Douglas County,Nebraska,"Omaha-Council Bluffs, NE-IA",31055,36540
Sarpy County,Nebraska,"Omaha-Council Bluffs, NE-IA",31153,36540
Saunders County,Nebraska,"Omaha-Council Bluffs, NE-IA",31155,36540
Washington County,Nebraska,"Omaha-Council Bluffs, NE-IA",31177,36540
Otsego County,New York,"Oneonta, NY",36077,36580
Payette County,Idaho,"Ontario, OR-ID",16075,36620
Malheur County,Oregon,"Ontario, OR-ID",41045,36620
St. Landry Parish,Louisiana,"Opelousas, LA",22097,36660
Orangeburg County,South Carolina,"Orangeburg, SC",45075,36700
Lake County,Florida,"Orlando-Kissimmee-Sanford, FL",12069,36740
Orange County,Florida,"Orlando-Kissimmee-Sanford, FL",12095,36740
Osceola County,Florida,"Orlando-Kissimmee-Sanford, FL",12097,36740
Seminole County,Florida,"Orlando-Kissimmee-Sanford, FL",12117,36740
Winnebago County,Wisconsin,"Oshkosh-Neenah, WI",55139,36780
Mahaska County,Iowa,"Oskaloosa, IA",19123,36820
Adams County,Washington,"Othello, WA",53001,36830
Bureau County,Illinois,"Ottawa, IL",17011,36837
LaSalle County,Illinois,"Ottawa, IL",17099,36837
Putnam County,Illinois,"Ottawa, IL",17155,36837
Franklin County,Kansas,"Ottawa, KS",20059,36840
Wapello County,Iowa,"Ottumwa, IA",19179,36900
Steele County,Minnesota,"Owatonna, MN",27147,36940
Daviess County,Kentucky,"Owensboro, KY",21059,36980
Hancock County,Kentucky,"Owensboro, KY",21091,36980
McLean County,Kentucky,"Owensboro, KY",21149,36980
Lafayette County,Mississippi,"Oxford, MS",28071,37060
Ventura County,California,"Oxnard-Thousand Oaks-Ventura, CA",6111,37100
Dale County,Alabama,"Ozark, AL",1045,37120
Massac County,Illinois,"Paducah, KY-IL",17127,37140
Ballard County,Kentucky,"Paducah, KY-IL",21007,37140
Livingston County,Kentucky,"Paducah, KY-IL",21139,37140
McCracken County,Kentucky,"Paducah, KY-IL",21145,37140
Nye County,Nevada,"Pahrump, NV",32023,37220
Putnam County,Florida,"Palatka, FL",12107,37260
Anderson County,Texas,"Palestine, TX",48001,37300
Brevard County,Florida,"Palm Bay-Melbourne-Titusville, FL",12009,37340
Gray County,Texas,"Pampa, TX",48179,37420
Roberts County,Texas,"Pampa, TX",48393,37420
Bay County,Florida,"Panama City, FL",12005,37460
Greene County,Arkansas,"Paragould, AR",5055,37500
Henry County,Tennessee,"Paris, TN",47079,37540
Lamar County,Texas,"Paris, TX",48277,37580
Wirt County,West Virginia,"Parkersburg-Vienna, WV",54105,37620
Wood County,West Virginia,"Parkersburg-Vienna, WV",54107,37620
Labette County,Kansas,"Parsons, KS",20099,37660
Gila County,Arizona,"Payson, AZ",4007,37740
Frio County,Texas,"Pearsall, TX",48163,37770
Loving County,Texas,"Pecos, TX",48301,37780
Reeves County,Texas,"Pecos, TX",48389,37780
Marion County,Iowa,"Pella, IA",19125,37800
Escambia County,Florida,"Pensacola-Ferry Pass-Brent, FL",12033,37860
Santa Rosa County,Florida,"Pensacola-Ferry Pass-Brent, FL",12113,37860
Fulton County,Illinois,"Peoria, IL",17057,37900
Marshall County,Illinois,"Peoria, IL",17123,37900
Peoria County,Illinois,"Peoria, IL",17143,37900
Stark County,Illinois,"Peoria, IL",17175,37900
Tazewell County,Illinois,"Peoria, IL",17179,37900
Woodford County,Illinois,"Peoria, IL",17203,37900
Miami County,Indiana,"Peru, IN",18103,37940
Burlington County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34005,37980
Camden County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34007,37980
Gloucester County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34015,37980
Bucks County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42017,37980
Chester County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42029,37980
Montgomery County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42091,37980
Delaware County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42045,37980
Philadelphia County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42101,37980
New Castle County,Delaware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10003,37980
Cecil County,Maryland,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",24015,37980
Salem County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34033,37980
Maricopa County,Arizona,"Phoenix-Mesa-Chandler, AZ",4013,38060
Pinal County,Arizona,"Phoenix-Mesa-Chandler, AZ",4021,38060
Pearl River County,Mississippi,"Picayune, MS",28109,38100
Hughes County,South Dakota,"Pierre, SD",46065,38180
Stanley County,South Dakota,"Pierre, SD",46117,38180
Cleveland County,Arkansas,"Pine Bluff, AR",5025,38220
Jefferson County,Arkansas,"Pine Bluff, AR",5069,38220
Lincoln County,Arkansas,"Pine Bluff, AR",5079,38220
Moore County,North Carolina,"Pinehurst-Southern Pines, NC",37125,38240
Crawford County,Kansas,"Pittsburg, KS",20037,38260
Allegheny County,Pennsylvania,"Pittsburgh, PA",42003,38300
Armstrong County,Pennsylvania,"Pittsburgh, PA",42005,38300
Beaver County,Pennsylvania,"Pittsburgh, PA",42007,38300
Butler County,Pennsylvania,"Pittsburgh, PA",42019,38300
Fayette County,Pennsylvania,"Pittsburgh, PA",42051,38300
Washington County,Pennsylvania,"Pittsburgh, PA",42125,38300
Westmoreland County,Pennsylvania,"Pittsburgh, PA",42129,38300
Berkshire County,Massachusetts,"Pittsfield, MA",25003,38340
Hale County,Texas,"Plainview, TX",48189,38380
Grant County,Wisconsin,"Platteville, WI",55043,38420
Clinton County,New York,"Plattsburgh, NY",36019,38460
Marshall County,Indiana,"Plymouth, IN",18099,38500
Bannock County,Idaho,"Pocatello, ID",16005,38540
Power County,Idaho,"Pocatello, ID",16077,38540
Gallia County,Ohio,"Point Pleasant, WV-OH",39053,38580
Mason County,West Virginia,"Point Pleasant, WV-OH",54053,38580
Kay County,Oklahoma,"Ponca City, OK",40071,38620
Adjuntas Municipio,Puerto Rico,"Ponce, PR",72001,38660
Juana Díaz Municipio,Puerto Rico,"Ponce, PR",72075,38660
Ponce Municipio,Puerto Rico,"Ponce, PR",72113,38660
Villalba Municipio,Puerto Rico,"Ponce, PR",72149,38660
Livingston County,Illinois,"Pontiac, IL",17105,38700
Butler County,Missouri,"Poplar Bluff, MO",29023,38740
Ripley County,Missouri,"Poplar Bluff, MO",29181,38740
Roosevelt County,New Mexico,"Portales, NM",35041,38780
Clallam County,Washington,"Port Angeles, WA",53009,38820
Cumberland County,Maine,"Portland-South Portland, ME",23005,38860
Sagadahoc County,Maine,"Portland-South Portland, ME",23023,38860
York County,Maine,"Portland-South Portland, ME",23031,38860
Clackamas County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",41005,38900
Columbia County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",41009,38900
Multnomah County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",41051,38900
Washington County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",41067,38900
Yamhill County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",41071,38900
Clark County,Washington,"Portland-Vancouver-Hillsboro, OR-WA",53011,38900
Skamania County,Washington,"Portland-Vancouver-Hillsboro, OR-WA",53059,38900
Calhoun County,Texas,"Port Lavaca, TX",48057,38920
Martin County,Florida,"Port St. Lucie, FL",12085,38940
St. Lucie County,Florida,"Port St. Lucie, FL",12111,38940
Scioto County,Ohio,"Portsmouth, OH",39145,39020
Schuylkill County,Pennsylvania,"Pottsville, PA",42107,39060
Dutchess County,New York,"Poughkeepsie-Newburgh-Middletown, NY",36027,39100
Orange County,New York,"Poughkeepsie-Newburgh-Middletown, NY",36071,39100
Yavapai County,Arizona,"Prescott Valley-Prescott, AZ",4025,39150
Carbon County,Utah,"Price, UT",49007,39220
Crook County,Oregon,"Prineville, OR",41013,39260
Bristol County,Massachusetts,"Providence-Warwick, RI-MA",25005,39300
Bristol County,Rhode Island,"Providence-Warwick, RI-MA",44001,39300
Kent County,Rhode Island,"Providence-Warwick, RI-MA",44003,39300
Newport County,Rhode Island,"Providence-Warwick, RI-MA",44005,39300
Providence County,Rhode Island,"Providence-Warwick, RI-MA",44007,39300
Washington County,Rhode Island,"Providence-Warwick, RI-MA",44009,39300
Juab County,Utah,"Provo-Orem, UT",49023,39340
Utah County,Utah,"Provo-Orem, UT",49049,39340
Pueblo County,Colorado,"Pueblo, CO",8101,39380
Whitman County,Washington,"Pullman, WA",53075,39420
Charlotte County,Florida,"Punta Gorda, FL",12015,39460
Adams County,Illinois,"Quincy, IL-MO",17001,39500
Lewis County,Missouri,"Quincy, IL-MO",29111,39500
Racine County,Wisconsin,"Racine, WI",55101,39540
Franklin County,North Carolina,"Raleigh-Cary, NC",37069,39580
Johnston County,North Carolina,"Raleigh-Cary, NC",37101,39580
Wake County,North Carolina,"Raleigh-Cary, NC",37183,39580
Meade County,South Dakota,"Rapid City, SD",46093,39660
Pennington County,South Dakota,"Rapid City, SD",46103,39660
Willacy County,Texas,"Raymondville, TX",48489,39700
Berks County,Pennsylvania,"Reading, PA",42011,39740
Tehama County,California,"Red Bluff, CA",6103,39780
Shasta County,California,"Redding, CA",6089,39820
Goodhue County,Minnesota,"Red Wing, MN",27049,39860
Storey County,Nevada,"Reno, NV",32029,39900
Washoe County,Nevada,"Reno, NV",32031,39900
Fremont County,Idaho,"Rexburg, ID",16043,39940
Madison County,Idaho,"Rexburg, ID",16065,39940
Wayne County,Indiana,"Richmond, IN",18177,39980
Amelia County,Virginia,"Richmond, VA",51007,40060
Charles City County,Virginia,"Richmond, VA",51036,40060
Chesterfield County,Virginia,"Richmond, VA",51041,40060
Dinwiddie County,Virginia,"Richmond, VA",51053,40060
Goochland County,Virginia,"Richmond, VA",51075,40060
Hanover County,Virginia,"Richmond, VA",51085,40060
Henrico County,Virginia,"Richmond, VA",51087,40060
King and Queen County,Virginia,"Richmond, VA",51097,40060
King William County,Virginia,"Richmond, VA",51101,40060
New Kent County,Virginia,"Richmond, VA",51127,40060
Powhatan County,Virginia,"Richmond, VA",51145,40060
Prince George County,Virginia,"Richmond, VA",51149,40060
Sussex County,Virginia,"Richmond, VA",51183,40060
Colonial Heights city,Virginia,"Richmond, VA",51570,40060
Hopewell city,Virginia,"Richmond, VA",51670,40060
Petersburg city,Virginia,"Richmond, VA",51730,40060
Richmond city,Virginia,"Richmond, VA",51760,40060
Estill County,Kentucky,"Richmond-Berea, KY",21065,40080
Madison County,Kentucky,"Richmond-Berea, KY",21151,40080
Starr County,Texas,"Rio Grande City-Roma, TX",48427,40100
Riverside County,California,"Riverside-San Bernardino-Ontario, CA",6065,40140
San Bernardino County,California,"Riverside-San Bernardino-Ontario, CA",6071,40140
Fremont County,Wyoming,"Riverton, WY",56013,40180
Botetourt County,Virginia,"Roanoke, VA",51023,40220
Craig County,Virginia,"Roanoke, VA",51045,40220
Franklin County,Virginia,"Roanoke, VA",51067,40220
Roanoke County,Virginia,"Roanoke, VA",51161,40220
Roanoke city,Virginia,"Roanoke, VA",51770,40220
Salem city,Virginia,"Roanoke, VA",51775,40220
Halifax County,North Carolina,"Roanoke Rapids, NC",37083,40260
Northampton County,North Carolina,"Roanoke Rapids, NC",37131,40260
Ogle County,Illinois,"Rochelle, IL",17141,40300
Dodge County,Minnesota,"Rochester, MN",27039,40340
Fillmore County,Minnesota,"Rochester, MN",27045,40340
Olmsted County,Minnesota,"Rochester, MN",27109,40340
Wabasha County,Minnesota,"Rochester, MN",27157,40340
Livingston County,New York,"Rochester, NY",36051,40380
Monroe County,New York,"Rochester, NY",36055,40380
Ontario County,New York,"Rochester, NY",36069,40380
Orleans County,New York,"Rochester, NY",36073,40380
Wayne County,New York,"Rochester, NY",36117,40380
Yates County,New York,"Rochester, NY",36123,40380
Boone County,Illinois,"Rockford, IL",17007,40420
Winnebago County,Illinois,"Rockford, IL",17201,40420
Richmond County,North Carolina,"Rockingham, NC",37153,40460
Aransas County,Texas,"Rockport, TX",48007,40530
Sweetwater County,Wyoming,"Rock Springs, WY",56037,40540
Edgecombe County,North Carolina,"Rocky Mount, NC",37065,40580
Nash County,North Carolina,"Rocky Mount, NC",37127,40580
Phelps County,Missouri,"Rolla, MO",29161,40620
Floyd County,Georgia,"Rome, GA",13115,40660
Douglas County,Oregon,"Roseburg, OR",41019,40700
Chaves County,New Mexico,"Roswell, NM",35005,40740
Lincoln County,New Mexico,"Ruidoso, NM",35027,40760
Pope County,Arkansas,"Russellville, AR",5115,40780
Yell County,Arkansas,"Russellville, AR",5149,40780
Lincoln Parish,Louisiana,"Ruston, LA",22061,40820
Rutland County,Vermont,"Rutland, VT",50021,40860
El Dorado County,California,"Sacramento-Roseville-Folsom, CA",6017,40900
Placer County,California,"Sacramento-Roseville-Folsom, CA",6061,40900
Sacramento County,California,"Sacramento-Roseville-Folsom, CA",6067,40900
Yolo County,California,"Sacramento-Roseville-Folsom, CA",6113,40900
Graham County,Arizona,"Safford, AZ",4009,40940
Saginaw County,Michigan,"Saginaw, MI",26145,40980
Benton County,Minnesota,"St. Cloud, MN",27009,41060
Stearns County,Minnesota,"St. Cloud, MN",27145,41060
Washington County,Utah,"St. George, UT",49053,41100
Doniphan County,Kansas,"St. Joseph, MO-KS",20043,41140
Andrew County,Missouri,"St. Joseph, MO-KS",29003,41140
Buchanan County,Missouri,"St. Joseph, MO-KS",29021,41140
DeKalb County,Missouri,"St. Joseph, MO-KS",29063,41140
Bond County,Illinois,"St. Louis, MO-IL",17005,41180
Calhoun County,Illinois,"St. Louis, MO-IL",17013,41180
Clinton County,Illinois,"St. Louis, MO-IL",17027,41180
Jersey County,Illinois,"St. Louis, MO-IL",17083,41180
Macoupin County,Illinois,"St. Louis, MO-IL",17117,41180
Madison County,Illinois,"St. Louis, MO-IL",17119,41180
Monroe County,Illinois,"St. Louis, MO-IL",17133,41180
St. Clair County,Illinois,"St. Louis, MO-IL",17163,41180
Franklin County,Missouri,"St. Louis, MO-IL",29071,41180
Jefferson County,Missouri,"St. Louis, MO-IL",29099,41180
Lincoln County,Missouri,"St. Louis, MO-IL",29113,41180
St. Charles County,Missouri,"St. Louis, MO-IL",29183,41180
St. Louis County,Missouri,"St. Louis, MO-IL",29189,41180
Warren County,Missouri,"St. Louis, MO-IL",29219,41180
St. Louis city,Missouri,"St. Louis, MO-IL",29510,41180
Camden County,Georgia,"St. Marys, GA",13039,41220
Elk County,Pennsylvania,"St. Marys, PA",42047,41260
Columbiana County,Ohio,"Salem, OH",39029,41400
Marion County,Oregon,"Salem, OR",41047,41420
Polk County,Oregon,"Salem, OR",41053,41420
Ottawa County,Kansas,"Salina, KS",20143,41460
Saline County,Kansas,"Salina, KS",20169,41460
Monterey County,California,"Salinas, CA",6053,41500
Sussex County,Delaware,"Salisbury, MD-DE",10005,41540
Somerset County,Maryland,"Salisbury, MD-DE",24039,41540
Wicomico County,Maryland,"Salisbury, MD-DE",24045,41540
Worcester County,Maryland,"Salisbury, MD-DE",24047,41540
Salt Lake County,Utah,"Salt Lake City, UT",49035,41620
Tooele County,Utah,"Salt Lake City, UT",49045,41620
Irion County,Texas,"San Angelo, TX",48235,41660
Sterling County,Texas,"San Angelo, TX",48431,41660
Tom Green County,Texas,"San Angelo, TX",48451,41660
Atascosa County,Texas,"San Antonio-New Braunfels, TX",48013,41700
Bandera County,Texas,"San Antonio-New Braunfels, TX",48019,41700
Bexar County,Texas,"San Antonio-New Braunfels, TX",48029,41700
Comal County,Texas,"San Antonio-New Braunfels, TX",48091,41700
Guadalupe County,Texas,"San Antonio-New Braunfels, TX",48187,41700
Kendall County,Texas,"San Antonio-New Braunfels, TX",48259,41700
Medina County,Texas,"San Antonio-New Braunfels, TX",48325,41700
Wilson County,Texas,"San Antonio-New Braunfels, TX",48493,41700
San Diego County,California,"San Diego-Chula Vista-Carlsbad, CA",6073,41740
Bonner County,Idaho,"Sandpoint, ID",16017,41760
Erie County,Ohio,"Sandusky, OH",39043,41780
Lee County,North Carolina,"Sanford, NC",37105,41820
Alameda County,California,"San Francisco-Oakland-Berkeley, CA",6001,41860
Contra Costa County,California,"San Francisco-Oakland-Berkeley, CA",6013,41860
San Francisco County,California,"San Francisco-Oakland-Berkeley, CA",6075,41860
San Mateo County,California,"San Francisco-Oakland-Berkeley, CA",6081,41860
Marin County,California,"San Francisco-Oakland-Berkeley, CA",6041,41860
Cabo Rojo Municipio,Puerto Rico,"San Germán, PR",72023,41900
Lajas Municipio,Puerto Rico,"San Germán, PR",72079,41900
Sabana Grande Municipio,Puerto Rico,"San Germán, PR",72121,41900
San Germán Municipio,Puerto Rico,"San Germán, PR",72125,41900
San Benito County,California,"San Jose-Sunnyvale-Santa Clara, CA",6069,41940
Santa Clara County,California,"San Jose-Sunnyvale-Santa Clara, CA",6085,41940
Aguas Buenas Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72007,41980
Aibonito Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72009,41980
Barceloneta Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72017,41980
Barranquitas Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72019,41980
Bayamón Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72021,41980
Caguas Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72025,41980
Canóvanas Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72029,41980
Carolina Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72031,41980
Cataño Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72033,41980
Cayey Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72035,41980
Ceiba Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72037,41980
Ciales Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72039,41980
Cidra Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72041,41980
Comerío Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72045,41980
Corozal Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72047,41980
Dorado Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72051,41980
Fajardo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72053,41980
Florida Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72054,41980
Guaynabo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72061,41980
Gurabo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72063,41980
Humacao Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72069,41980
Juncos Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72077,41980
Las Piedras Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72085,41980
Loíza Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72087,41980
Luquillo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72089,41980
Manatí Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72091,41980
Maunabo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72095,41980
Morovis Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72101,41980
Naguabo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72103,41980
Naranjito Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72105,41980
Orocovis Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72107,41980
Río Grande Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72119,41980
San Juan Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72127,41980
San Lorenzo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72129,41980
Toa Alta Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72135,41980
Toa Baja Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72137,41980
Trujillo Alto Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72139,41980
Vega Alta Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72143,41980
Vega Baja Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72145,41980
Yabucoa Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",72151,41980
San Luis Obispo County,California,"San Luis Obispo-Paso Robles, CA",6079,42020
Santa Cruz County,California,"Santa Cruz-Watsonville, CA",6087,42100
Santa Fe County,New Mexico,"Santa Fe, NM",35049,42140
Santa Isabel Municipio,Puerto Rico,"Santa Isabel, PR",72133,42180
Santa Barbara County,California,"Santa Maria-Santa Barbara, CA",6083,42200
Sonoma County,California,"Santa Rosa-Petaluma, CA",6097,42220
Chippewa County,Michigan,"Sault Ste. Marie, MI",26033,42300
Bryan County,Georgia,"Savannah, GA",13029,42340
Chatham County,Georgia,"Savannah, GA",13051,42340
Effingham County,Georgia,"Savannah, GA",13103,42340
Bradford County,Pennsylvania,"Sayre, PA",42015,42380
Banner County,Nebraska,"Scottsbluff, NE",31007,42420
Scotts Bluff County,Nebraska,"Scottsbluff, NE",31157,42420
Sioux County,Nebraska,"Scottsbluff, NE",31165,42420
Jackson County,Alabama,"Scottsboro, AL",1071,42460
Scott County,Indiana,"Scottsburg, IN",18143,42500
Lackawanna County,Pennsylvania,"Scranton--Wilkes-Barre, PA",42069,42540
Luzerne County,Pennsylvania,"Scranton--Wilkes-Barre, PA",42079,42540
Wyoming County,Pennsylvania,"Scranton--Wilkes-Barre, PA",42131,42540
White County,Arkansas,"Searcy, AR",5145,42620
King County,Washington,"Seattle-Tacoma-Bellevue, WA",53033,42660
Snohomish County,Washington,"Seattle-Tacoma-Bellevue, WA",53061,42660
Pierce County,Washington,"Seattle-Tacoma-Bellevue, WA",53053,42660
Indian River County,Florida,"Sebastian-Vero Beach, FL",12061,42680
Highlands County,Florida,"Sebring-Avon Park, FL",12055,42700
Pettis County,Missouri,"Sedalia, MO",29159,42740
Snyder County,Pennsylvania,"Selinsgrove, PA",42109,42780
Dallas County,Alabama,"Selma, AL",1047,42820
Oconee County,South Carolina,"Seneca, SC",45073,42860
Seneca County,New York,"Seneca Falls, NY",36099,42900
Sevier County,Tennessee,"Sevierville, TN",47155,42940
Jackson County,Indiana,"Seymour, IN",18071,42980
Menominee County,Wisconsin,"Shawano, WI",55078,43020
Shawano County,Wisconsin,"Shawano, WI",55115,43020
Pottawatomie County,Oklahoma,"Shawnee, OK",40125,43060
Sheboygan County,Wisconsin,"Sheboygan, WI",55117,43100
Cleveland County,North Carolina,"Shelby, NC",37045,43140
Bedford County,Tennessee,"Shelbyville, TN",47003,43180
Mason County,Washington,"Shelton, WA",53045,43220
Sheridan County,Wyoming,"Sheridan, WY",56033,43260
Grayson County,Texas,"Sherman-Denison, TX",48181,43300
Navajo County,Arizona,"Show Low, AZ",4017,43320
Bossier Parish,Louisiana,"Shreveport-Bossier City, LA",22015,43340
Caddo Parish,Louisiana,"Shreveport-Bossier City, LA",22017,43340
De Soto Parish,Louisiana,"Shreveport-Bossier City, LA",22031,43340
