county,state_name,cbsa,fips,cbsa_code
Ray County,Missouri,"Kansas City, MO-KS",29177,28140
Kauai County,Hawaii,"Kapaa, HI",15007,28180
Buffalo County,Nebraska,"Kearney, NE",31019,28260
Kearney County,Nebraska,"Kearney, NE",31099,28260
Cheshire County,New Hampshire,"Keene, NH",33005,28300
Noble County,Indiana,"Kendallville, IN",18113,28340
Dunklin County,Missouri,"Kennett, MO",29069,28380
Benton County,Washington,"Kennewick-Richland, WA",53005,28420
Franklin County,Washington,"Kennewick-Richland, WA",53021,28420
Kerr County,Texas,"Kerrville, TX",48265,28500
Ketchikan Gateway Borough,Alaska,"Ketchikan, AK",2130,28540
Monroe County,Florida,"Key West, FL",12087,28580
Dare County,North Carolina,"Kill Devil Hills, NC",37055,28620
Bell County,Texas,"Killeen-Temple, TX",48027,28660
Coryell County,Texas,"Killeen-Temple, TX",48099,28660
Lampasas County,Texas,"Killeen-Temple, TX",48281,28660
Hawkins County,Tennessee,"Kingsport-Bristol, TN-VA",47073,28700
Sullivan County,Tennessee,"Kingsport-Bristol, TN-VA",47163,28700
Scott County,Virginia,"Kingsport-Bristol, TN-VA",51169,28700
Washington County,Virginia,"Kingsport-Bristol, TN-VA",51191,28700
Bristol city,Virginia,"Kingsport-Bristol, TN-VA",51520,28700
Ulster County,New York,"Kingston, NY",36111,28740
Kenedy County,Texas,"Kingsville, TX",48261,28780
Kleberg County,Texas,"Kingsville, TX",48273,28780
Lenoir County,North Carolina,"Kinston, NC",37107,28820
Adair County,Missouri,"Kirksville, MO",29001,28860
Schuyler County,Missouri,"Kirksville, MO",29197,28860
Klamath County,Oregon,"Klamath Falls, OR",41035,28900
Anderson County,Tennessee,"Knoxville, TN",47001,28940
Blount County,Tennessee,"Knoxville, TN",47009,28940
Campbell County,Tennessee,"Knoxville, TN",47013,28940
Knox County,Tennessee,"Knoxville, TN",47093,28940
Loudon County,Tennessee,"Knoxville, TN",47105,28940
Morgan County,Tennessee,"Knoxville, TN",47129,28940
Roane County,Tennessee,"Knoxville, TN",47145,28940
Union County,Tennessee,"Knoxville, TN",47173,28940
Howard County,Indiana,"Kokomo, IN",18067,29020
Belknap County,New Hampshire,"Laconia, NH",33001,29060
Houston County,Minnesota,"La Crosse-Onalaska, WI-MN",27055,29100
La Crosse County,Wisconsin,"La Crosse-Onalaska, WI-MN",55063,29100
Acadia Parish,Louisiana,"Lafayette, LA",22001,29180
Iberia Parish,Louisiana,"Lafayette, LA",22045,29180
Lafayette Parish,Louisiana,"Lafayette, LA",22055,29180
St. Martin Parish,Louisiana,"Lafayette, LA",22099,29180
Vermilion Parish,Louisiana,"Lafayette, LA",22113,29180
Benton County,Indiana,"Lafayette-West Lafayette, IN",18007,29200
Carroll County,Indiana,"Lafayette-West Lafayette, IN",18015,29200
Tippecanoe County,Indiana,"Lafayette-West Lafayette, IN",18157,29200
Warren County,Indiana,"Lafayette-West Lafayette, IN",18171,29200
Union County,Oregon,"La Grande, OR",41061,29260
Chambers County,Alabama,"LaGrange, GA-AL",1017,29300
Troup County,Georgia,"LaGrange, GA-AL",13285,29300
Calcasieu Parish,Louisiana,"Lake Charles, LA",22019,29340
Cameron Parish,Louisiana,"Lake Charles, LA",22023,29340
Columbia County,Florida,"Lake City, FL",12023,29380
Mohave County,Arizona,"Lake Havasu City-Kingman, AZ",4015,29420
Polk County,Florida,"Lakeland-Winter Haven, FL",12105,29460
Dawson County,Texas,"Lamesa, TX",48115,29500
Lancaster County,Pennsylvania,"Lancaster, PA",42071,29540
Clinton County,Michigan,"Lansing-East Lansing, MI",26037,29620
Eaton County,Michigan,"Lansing-East Lansing, MI",26045,29620
Ingham County,Michigan,"Lansing-East Lansing, MI",26065,29620
Shiawassee County,Michigan,"Lansing-East Lansing, MI",26155,29620
Albany County,Wyoming,"Laramie, WY",56001,29660
Webb County,Texas,"Laredo, TX",48479,29700
Doña Ana County,New Mexico,"Las Cruces, NM",35013,29740
Mora County,New Mexico,"Las Vegas, NM",35033,29780
San Miguel County,New Mexico,"Las Vegas, NM",35047,29780
Clark County,Nevada,"Las Vegas-Henderson-Paradise, NV",32003,29820
Jasper County,Mississippi,"Laurel, MS",28061,29860
Jones County,Mississippi,"Laurel, MS",28067,29860
Scotland County,North Carolina,"Laurinburg, NC",37165,29900
Douglas County,Kansas,"Lawrence, KS",20045,29940
Lawrence County,Tennessee,"Lawrenceburg, TN",47099,29980
Comanche County,Oklahoma,"Lawton, OK",40031,30020
Cotton County,Oklahoma,"Lawton, OK",40033,30020
Laclede County,Missouri,"Lebanon, MO",29105,30060
Grafton County,New Hampshire,"Lebanon, NH-VT",33009,30100
Sullivan County,New Hampshire,"Lebanon, NH-VT",33019,30100
Orange County,Vermont,"Lebanon, NH-VT",50017,30100
Windsor County,Vermont,"Lebanon, NH-VT",50027,30100
Lebanon County,Pennsylvania,"Lebanon, PA",42075,30140
Hockley County,Texas,"Levelland, TX",48219,30220
Union County,Pennsylvania,"Lewisburg, PA",42119,30260
Marshall County,Tennessee,"Lewisburg, TN",47117,30280
Nez Perce County,Idaho,"Lewiston, ID-WA",16069,30300
Asotin County,Washington,"Lewiston, ID-WA",53003,30300
Androscoggin County,Maine,"Lewiston-Auburn, ME",23001,30340
Mifflin County,Pennsylvania,"Lewistown, PA",42087,30380
Dawson County,Nebraska,"Lexington, NE",31047,30420
Gosper County,Nebraska,"Lexington, NE",31073,30420
Bourbon County,Kentucky,"Lexington-Fayette, KY",21017,30460
